,Year,CO,NO2,Ozone,SO2,Lead,PM10,PM2_5,State
0,1999.0,5.949999999999998,29.5,0.07850000000000001,5.5,0.0,33.875,10.75,AZ
1,2000.0,5.95,26.5,0.07400000000000001,3.6666666666666665,0.0,34.875,9.883333333333336,AZ
2,2001.0,4.75,27.0,0.07216666666666667,4.333333333333333,0.0,36.285714285714285,10.0,AZ
3,2002.0,4.05,26.0,0.08083333333333333,4.333333333333333,0.0,42.833333333333336,9.475,AZ
4,2003.0,4.1,25.5,0.07788888888888887,3.0,0.0,36.0,9.32,AZ
5,2004.0,3.8,23.5,0.07366666666666667,3.75,0.0,28.72727272727273,8.385714285714286,AZ
6,2005.0,3.6,19.0,0.07925,3.25,0.0,45.57142857142857,8.816666666666666,AZ
7,2006.0,2.8000000000000003,19.0,0.07675,3.25,0.0,57.09090909090909,10.787499999999998,AZ
8,2007.0,2.4,21.0,0.07300000000000001,4.333333333333333,0.0,46.230769230769226,10.957142857142856,AZ
9,2008.0,2.25,19.5,0.075,4.666666666666667,0.0,52.111111111111114,10.328571428571427,AZ
10,2009.0,2.25,18.5,0.06733333333333334,3.6666666666666665,0.0,37.0,9.0,AZ
11,2010.0,2.25,18.5,0.07133333333333333,4.333333333333333,0.0,28.75,7.033333333333332,AZ
12,2011.0,2.25,18.5,0.07466666666666667,2.6666666666666665,0.27,37.66666666666666,8.049999999999999,AZ
13,2012.0,1.85,19.5,0.0757,4.0,0.2,38.2,8.5125,AZ
14,2013.0,1.9,18.0,0.07169999999999999,2.6666666666666665,0.05333333333333334,34.5,8.75,AZ
15,2014.0,1.95,18.0,0.0724,2.6666666666666665,0.07333333333333335,37.09090909090909,7.487500000000002,AZ
16,2015.0,2.0,10.666666666666666,0.06999999999999999,2.0,0.043333333333333335,27.4,7.7,AZ
0,2016.0,1.8469894954091972,11.381270801531777,0.0698111979834895,1.9053780458253433,0.05973806469737862,26.77125634577354,7.677642759180278,AZ
1,2017.0,0.0,2.9277719636193655,0.031915957545149524,0.9856638648928336,0.03980681012827893,7.1526724692579045,0.0,AZ
2,2018.0,0.0,5.208479342130669,0.04179032499507643,0.0,0.04236689394704665,14.707917491048264,1.6031401471529851,AZ
3,2019.0,0.0,5.006714072141131,0.004699789286192916,0.0,0.026375566821626457,0.7733804504951687,5.185317465380536,AZ
4,2020.0,0.0,0.0,0.010183956767707529,0.0,0.01833927606925381,0.0,3.014548295795495,AZ
5,2021.0,0.0,0.0,0.009538499278760704,0.0,0.02249314456967482,4.171111972401719,0.0,AZ
6,2022.0,0.0,0.0,0.0,0.0,0.01818255350296357,0.0,0.0,AZ
7,2023.0,0.0,0.0,0.005261394078680158,0.0,0.014409398404669557,0.0,1.9268571363124458,AZ
8,2024.0,0.0,0.0,0.0,0.0,0.01679379427758419,1.1126704525818778,2.1588805071906156,AZ
9,2025.0,0.0,0.0,0.0,0.0,0.015950649532147254,0.0,0.0,AZ
