"County Code","County","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"06027","Inyo County, CA",".",".",".",".","0.1","0.085",".",".",".","35","6.1","296","26","."
"06029","Kern County, CA","2.8","1.9","65","20","0.13","0.102",".",".",".","72","21.8","109","55","."
"06031","Kings County, CA",".",".",".","11","0.11","0.088",".",".",".","58","18.4","105","47","."
"06033","Lake County, CA",".",".",".",".","0.07","0.057",".",".",".","9","3.4",".",".","."
"06037","Los Angeles County, CA","7","4.9","88","31","0.14","0.105","19","9","3","46","16","131","38","."
"06039","Madera County, CA",".",".","40","10","0.09","0.077",".",".",".",".",".",".",".","."
"06041","Marin County, CA","2.5","1.3","45","14","0.06","0.048",".",".",".",".",".","46","16","."
"06043","Mariposa County, CA",".","0.6",".",".","0.1","0.087",".",".",".",".",".",".",".","."
"06045","Mendocino County, CA","2.1","1.4","30","8","0.08","0.053",".",".",".","13","4.7","42","20","."
"06047","Merced County, CA",".",".","42","9","0.1","0.087",".",".",".","53","15.2","65","29","."
"06051","Mono County, CA",".",".",".",".",".",".",".",".",".",".",".","56","18","."
"06053","Monterey County, CA","1.7","1","35","7","0.07","0.059",".",".",".","16","7","34","17","."
"06055","Napa County, CA","3","2","41","10","0.07","0.055",".",".",".",".",".","43","20","."
"06057","Nevada County, CA",".",".",".",".","0.1","0.088",".",".",".","16","6.3",".",".","."
"06059","Orange County, CA","6.3","2.7","70","21","0.12","0.082","8","3","1","47","14.4","75","39","."
"06061","Placer County, CA",".",".","53","12","0.11","0.082",".",".",".","27","8.4",".",".","."
"06063","Plumas County, CA",".",".",".",".",".",".",".",".",".","36","11",".",".","."
"06065","Riverside County, CA","3.6","2.5","64","20","0.14","0.104",".",".",".","60","20.9","157","68","."
"06067","Sacramento County, CA","5.8","4.1","57","15","0.11","0.09","5","3","1","60","12.3","61","27","."
"06069","San Benito County, CA",".",".",".",".","0.09","0.075",".",".",".","19","6.2","31","17","."
"06071","San Bernardino County, CA","3.1","2.1","72","27","0.16","0.126","11","5","2",".",".","232","60","."
"06073","San Diego County, CA","6.3","4.8","82","22","0.11","0.086","16","5","3","53","13.3","146","58","."
"06075","San Francisco County, CA","2.3","1.5","53","16","0.06","0.047","14","6","1","27","8.7","58","20","."
"06077","San Joaquin County, CA","3.6","2.1","56","16","0.09","0.079",".",".",".","48","12.9","70","27","."
"06079","San Luis Obispo County, CA",".",".","43","9","0.09","0.083","71","10","1","24","7.9","107","39","."
"06081","San Mateo County, CA","4.1","2.1","49","13","0.07","0.052",".",".",".","33","8.3","45","18","."
"06083","Santa Barbara County, CA","2.1","1.3","37","8","0.09","0.078","7","3","1","21","9.5","72","24","."
