"County Code","County","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"01003","Baldwin County, AL",".",".",".",".","0.09","0.074",".",".",".","26","11.7",".",".","."
"01027","Clay County, AL",".",".",".",".","0.09","0.073",".",".",".","36","13.4",".",".","."
"01033","Colbert County, AL",".",".",".",".","0.09","0.072","41","10","2","32","13.2",".",".","."
"01049","DeKalb County, AL",".",".",".",".",".",".",".",".",".","33","14.2",".",".","."
"01051","Elmore County, AL",".",".",".",".","0.08","0.069",".",".",".",".",".",".",".","."
"01053","Escambia County, AL",".",".",".",".",".",".",".",".",".","28","13.7",".",".","."
"01055","Etowah County, AL",".",".",".",".","0.08","0.071",".",".",".","39","15.4","70","24","."
"01069","Houston County, AL",".",".",".",".","0.08","0.068",".",".",".","32","13.2",".",".","."
"01071","Jackson County, AL",".",".",".",".",".",".","103","15","3",".",".",".",".","."
"01073","Jefferson County, AL","20.9","8.8",".",".","0.11","0.085","70","14","3","50","19.6","179","49","."
"01079","Lawrence County, AL",".",".",".",".","0.08","0.071",".",".",".",".",".",".",".","."
"01089","Madison County, AL",".",".",".",".","0.09","0.075",".",".",".","40","14.4","52","20","."
"01097","Mobile County, AL",".",".",".",".","0.09","0.073",".",".",".","29","12.8","45","23","."
"01101","Montgomery County, AL",".",".",".",".","0.09","0.069",".",".",".","33","14.7","40","20","."
"01103","Morgan County, AL",".",".",".",".","0.1","0.079",".",".",".","36","13.6",".",".","."
"01109","Pike County, AL",".",".",".",".",".",".",".",".",".",".",".","49","23","."
"01113","Russell County, AL",".",".",".",".","0.09","0.072",".",".",".","39","15.7",".",".","."
"01117","Shelby County, AL",".",".",".",".","0.11","0.085",".",".",".","33","14.9",".",".","."
"01119","Sumter County, AL",".",".",".",".","0.07","0.063",".",".",".","27","12.3",".",".","."
"01121","Talladega County, AL",".",".",".",".","0.08","0.064",".",".",".","34","14.2",".",".","."
"01125","Tuscaloosa County, AL",".",".",".",".","0.09","0.074",".",".",".","31","13.9",".",".","."
"01127","Walker County, AL",".",".",".",".",".",".",".",".",".","33","14.2",".",".","."
"02020","Anchorage Borough, AK","8.1","4.8",".",".",".",".",".",".",".","18","6.9","145","24","."
"02068","Denali Borough, AK",".",".",".",".","0.06","0.051",".",".",".",".",".",".",".","."
"02090","Fairbanks North Star Borough, AK","6.6","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"02110","Juneau Borough, AK",".",".",".",".",".",".",".",".",".","35","8.1","35","11","."
"02170","Matanuska-Susitna Borough, AK",".",".",".",".",".",".",".",".",".","25","6.5","111","24","."
"04003","Cochise County, AZ",".",".",".",".","0.08","0.072",".",".",".","16","7.3","82","35","."
"04005","Coconino County, AZ",".",".",".",".","0.09","0.079",".",".",".","13","6",".",".","."
"04007","Gila County, AZ",".",".",".",".","0.11","0.084","295","43","8",".",".","40","21","."
"04013","Maricopa County, AZ","7","4.8","82","32","0.12","0.088","15","7","2","42","12.9","200","74","."
"04017","Navajo County, AZ",".",".",".",".","0.09","0.07",".",".",".",".",".",".",".","."
"04019","Pima County, AZ","3.6","2.4","47","15","0.09","0.079","15","3","1","12","6.3","77","39","."
"04021","Pinal County, AZ",".",".",".",".","0.11","0.084","7","3","2","17","7.3","171","58","."
"04023","Santa Cruz County, AZ",".",".",".",".",".",".",".",".",".","33","13.1","205","57","."
"04027","Yuma County, AZ",".",".",".","10","0.09","0.078",".",".",".",".",".","85","35","."
"05001","Arkansas County, AR",".",".",".",".",".",".",".",".",".","36","14",".",".","."
"05035","Crittenden County, AR",".",".",".",".","0.13","0.096",".",".",".","40","14.2",".",".","."
"05045","Faulkner County, AR",".",".",".",".",".",".",".",".",".","37","14.5",".",".","."
"05051","Garland County, AR",".",".",".",".",".",".",".",".",".","35","14.2",".",".","."
"05093","Mississippi County, AR",".",".",".",".",".",".",".",".",".","38","14.8",".",".","."
"05101","Newton County, AR",".",".",".",".","0.08","0.073",".",".",".",".",".",".",".","."
"05107","Phillips County, AR",".",".",".",".",".",".",".",".",".","35","13.7",".",".","."
"05113","Polk County, AR",".",".",".",".","0.08","0.075",".",".",".","30","12.6",".",".","."
"05115","Pope County, AR",".",".",".",".",".",".",".",".",".","35","14.4",".",".","."
"05119","Pulaski County, AR","2.6","2.1","54","12","0.1","0.086","8","5","2","40","16","48","25","."
"05139","Union County, AR",".",".",".",".",".",".",".",".",".","38","14.8",".",".","."
"05145","White County, AR",".",".",".",".",".",".",".",".",".","39","14.7",".",".","."
"06001","Alameda County, CA","3.3","2.3","51","15","0.11","0.075",".",".",".","29","9","37","18","."
"06005","Amador County, CA","1.8","0.9",".",".","0.1","0.087",".",".",".",".",".",".",".","."
"06007","Butte County, CA","3.2","2.5","43","9","0.09","0.081",".",".",".","54","12.3","61","23","."
"06009","Calaveras County, CA","1.2","0.6",".",".","0.12","0.096",".",".",".","18","7","27","14","."
"06011","Colusa County, CA",".",".",".",".","0.08","0.068",".",".",".","16","7",".",".","."
"06013","Contra Costa County, CA","3.1","1.7","44","12","0.09","0.068","26","9","2","41","9.3","42","19","."
"06017","El Dorado County, CA","1.1","0.7",".",".","0.11","0.098",".",".",".",".",".","38","17","."
"06019","Fresno County, CA","4","2.8","69","17","0.13","0.101",".",".",".","74","16.9","92","39","."
"06021","Glenn County, CA",".",".",".",".","0.08","0.063",".",".",".",".",".","58","21","."
"06025","Imperial County, CA","10.5","7.4","80","15","0.12","0.09","2","2","0","22","9.4","102","53","."
"06027","Inyo County, CA",".",".",".",".","0.09","0.085",".",".",".",".",".","3538","54","."
"06029","Kern County, CA","3.2","2","70","21","0.13","0.108",".",".",".","75","19.8","102","43","."
