"County Code","County","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"01003","Baldwin County, AL",".",".",".",".","0.12","0.097",".",".",".",".",".",".",".","."
"01027","Clay County, AL",".",".",".",".","0.09","0.08",".",".",".",".",".",".",".","."
"01033","Colbert County, AL",".",".",".",".",".",".","82","17","3",".",".",".",".","."
"01049","DeKalb County, AL",".",".",".",".",".",".",".",".",".",".",".","44","23","."
"01051","Elmore County, AL",".",".",".",".","0.1","0.084",".",".",".",".",".",".",".","."
"01053","Escambia County, AL",".",".",".",".",".",".",".",".",".","39","16.8","60","26","."
"01055","Etowah County, AL",".",".",".",".",".",".",".",".",".",".",".","64","26","."
"01069","Houston County, AL",".",".",".",".",".",".",".",".",".",".",".","70","24","."
"01071","Jackson County, AL",".",".",".",".",".",".","245","41","5",".",".",".",".","."
"01073","Jefferson County, AL","23.6","16.3",".",".","0.12","0.094","149","57","10","53","22.3","157","42","."
"01079","Lawrence County, AL",".",".",".",".","0.1","0.083",".",".",".",".",".",".",".","."
"01089","Madison County, AL","3.2","2.3",".",".","0.11","0.088",".",".",".","42","16.3","80","24","."
"01091","Marengo County, AL",".",".",".",".",".",".",".",".",".",".",".","46","23","."
"01097","Mobile County, AL",".",".",".",".","0.12","0.093",".",".",".","33","14.8","57","24","."
"01101","Montgomery County, AL",".",".",".",".","0.11","0.086",".",".",".","42","18.3","58","25","."
"01103","Morgan County, AL",".",".",".",".",".",".",".",".",".",".",".","53","22","."
"01109","Pike County, AL",".",".",".",".",".",".",".",".",".",".",".","48","24","."
"01113","Russell County, AL",".",".",".",".",".",".",".",".",".",".",".","52","26","."
"01117","Shelby County, AL",".",".",".",".","0.13","0.099",".",".",".","39","16.7","60","27","."
"01119","Sumter County, AL",".",".",".",".","0.09","0.08",".",".",".",".",".",".",".","."
"01121","Talladega County, AL",".",".",".",".",".",".",".",".",".",".",".","68","26","."
"02020","Anchorage Borough, AK","10.6","5.5",".",".",".",".",".",".",".","20","6.1","108","26","."
"02068","Denali Borough, AK",".",".",".",".","0.05","0.044",".",".",".",".",".",".",".","."
"02090","Fairbanks North Star Borough, AK","18.9","8.9",".",".",".",".",".",".",".","64","14.9",".",".","."
"02110","Juneau Borough, AK",".",".",".",".",".",".",".",".",".","24","6.6",".",".","."
"02170","Matanuska-Susitna Borough, AK",".",".",".",".",".",".",".",".",".","28","6.1","125","12","."
"04003","Cochise County, AZ",".",".",".",".","0.08","0.071",".",".",".","39","8.9","90","38","."
"04005","Coconino County, AZ",".",".",".",".","0.08","0.071",".",".",".","25","6.9","33","16","."
"04007","Gila County, AZ",".",".",".",".",".",".","177","25","7","28","10.3","59","25","."
"04013","Maricopa County, AZ","10.5","7.2","225","36","0.11","0.087","24","12","2","34","12.1","172","70","."
"04015","Mohave County, AZ",".",".",".",".",".",".",".",".",".",".",".","72","28","."
"04019","Pima County, AZ","7.5","4.7","60","17","0.09","0.077","15","7","2",".",".","123","39","."
"04021","Pinal County, AZ",".",".",".",".",".",".",".",".",".","19","8.5",".",".","."
"04023","Santa Cruz County, AZ",".",".",".",".",".",".",".",".",".","36","12.6","116","47","."
