County Code,County,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg
6059,"Orange County, CA",11,6.2,126,35,0.11,0.077,13,5,2,.,.,73,37,.
6061,"Placer County, CA",3.9,2,73,12,0.13,0.102,.,.,.,40,13.4,91,26,.
6063,"Plumas County, CA",.,.,.,.,0.08,0.072,.,.,.,.,.,96,32,.
6065,"Riverside County, CA",7.1,4.1,141,25,0.14,0.115,18,9,2,62,26.7,116,55,.
6067,"Sacramento County, CA",7.3,6.2,81,21,0.14,0.106,18,12,4,.,.,142,34,.
6069,"San Benito County, CA",.,.,.,.,0.11,0.082,.,.,.,.,.,50,22,.
6071,"San Bernardino County, CA",7.4,4,111,39,0.16,0.133,16,9,2,66,25.7,127,66,.
6073,"San Diego County, CA",9.2,4.9,100,26,0.11,0.092,63,16,3,38,16.4,112,52,.
6075,"San Francisco County, CA",7.8,4.5,70,21,0.07,0.049,15,6,2,.,.,69,26,.
6077,"San Joaquin County, CA",8.9,6,62,24,0.13,0.094,.,.,.,79,19.7,125,36,.
6079,"San Luis Obispo County, CA",5.3,2.9,63,14,0.09,0.077,106,27,4,27,9.6,81,27,.
6081,"San Mateo County, CA",7.1,3.7,67,19,0.08,0.047,.,.,.,.,.,68,25,.
6083,"Santa Barbara County, CA",6.7,4.1,67,22,0.1,0.079,7,3,1,.,.,50,29,.
6085,"Santa Clara County, CA",8.8,6.2,93,26,0.12,0.078,.,.,.,60,16.3,93,28,.
6087,"Santa Cruz County, CA",1,0.7,30,5,0.08,0.067,5,2,1,.,.,75,31,.
6089,"Shasta County, CA",.,.,.,.,0.11,0.094,.,.,.,55,12.9,.,.,.
6091,"Sierra County, CA",.,.,.,.,.,.,.,.,.,.,.,53,25,.
6093,"Siskiyou County, CA",.,.,.,.,0.07,0.062,.,.,.,.,.,47,17,.
6095,"Solano County, CA",6.4,5,60,14,0.12,0.091,16,6,1,.,.,62,20,.
6097,"Sonoma County, CA",5,3.3,52,14,0.1,0.081,.,.,.,.,.,64,19,.
6099,"Stanislaus County, CA",10.9,6.3,87,22,0.11,0.09,.,.,.,100,24.9,136,43,.
6101,"Sutter County, CA",6.4,4.2,69,14,0.11,0.09,.,.,.,53,15.9,155,37,.
6103,"Tehama County, CA",.,.,.,.,0.11,0.098,.,.,.,.,.,.,.,.
6107,"Tulare County, CA",7.3,3.9,83,21,0.12,0.108,.,.,.,114,27.6,137,55,.
6109,"Tuolumne County, CA",3.9,2.7,.,.,0.11,0.096,.,.,.,.,.,.,.,.
6111,"Ventura County, CA",6,2.6,63,22,0.13,0.102,6,5,1,35,13.8,63,31,.
6113,"Yolo County, CA",2.2,1.2,60,12,0.12,0.088,.,.,.,.,.,144,32,.
8001,"Adams County, CO",6,3.6,78,19,0.09,0.071,81,12,3,.,.,141,36,.
8005,"Arapahoe County, CO",.,.,.,.,0.1,0.075,.,.,.,.,.,.,.,.
8013,"Boulder County, CO",7,3.7,.,.,0.1,0.075,.,.,.,.,.,.,.,.
8029,"Delta County, CO",.,.,.,.,.,.,.,.,.,.,.,135,33,.
8031,"Denver County, CO",12.1,5.2,.,.,0.09,0.068,.,.,.,.,.,83,28,.
8041,"El Paso County, CO",12.6,5.2,88,19,0.08,0.065,56,20,4,.,.,79,22,.
8043,"Fremont County, CO",.,.,.,.,.,.,.,.,.,.,.,64,16,.
8051,"Gunnison County, CO",.,.,.,.,.,.,.,.,.,.,.,122,30,.
8059,"Jefferson County, CO",8,4.1,47,9,0.11,0.081,.,.,.,.,.,34,14,.
8065,"Lake County, CO",.,.,.,.,.,.,.,.,.,.,.,.,.,.
8067,"La Plata County, CO",.,.,.,.,0.08,0.071,.,.,.,.,.,99,37,.
8069,"Larimer County, CO",8.4,5.1,.,.,0.09,0.073,.,.,.,.,.,36,16,.
8077,"Mesa County, CO",8.5,4.7,.,.,.,.,.,.,.,18,6.9,51,19,.
8083,"Montezuma County, CO",.,.,.,.,0.08,0.069,.,.,.,.,.,.,.,.
8085,"Montrose County, CO",.,.,.,.,.,.,.,.,.,.,.,90,42,.
8097,"Pitkin County, CO",.,.,.,.,.,.,.,.,.,.,.,73,25,.
8099,"Prowers County, CO",.,.,.,.,.,.,.,.,.,.,.,145,29,.
8117,"Summit County, CO",.,.,.,.,.,.,.,.,.,.,.,52,18,.
8123,"Weld County, CO",6.6,3.4,.,.,0.09,0.069,.,.,.,.,.,47,18,.
