"County Code","County","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"04013","Maricopa County, AZ","2.4","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"05119","Pulaski County, AR","1.1","0.9",".",".",".",".",".",".",".",".",".",".",".","."
"06001","Alameda County, CA","2.2","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"06013","Contra Costa County, CA","3.3","0.9",".",".",".",".",".",".",".",".",".",".",".","."
"06023","Humboldt County, CA","1.1","0.6",".",".",".",".",".",".",".",".",".",".",".","."
"06041","Marin County, CA","1","0.6",".",".",".",".",".",".",".",".",".",".",".","."
"06055","Napa County, CA","0.9","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"06075","San Francisco County, CA","1","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"06081","San Mateo County, CA","1.8","1",".",".",".",".",".",".",".",".",".",".",".","."
"06085","Santa Clara County, CA","1.9","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"06095","Solano County, CA","1.9","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"06097","Sonoma County, CA","1.1","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"08001","Adams County, CO","1.6","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"08031","Denver County, CO","2.2","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"08041","El Paso County, CO","2","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"08067","La Plata County, CO","0.4","0.4",".",".",".",".",".",".",".",".",".",".",".","."
"08069","Larimer County, CO","1.6","1",".",".",".",".",".",".",".",".",".",".",".","."
"08077","Mesa County, CO","0.9","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"08123","Weld County, CO","0.9","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"10003","New Castle County, DE","1.1","0.9",".",".",".",".",".",".",".",".",".",".",".","."
"13089","DeKalb County, GA","1.3","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"13121","Fulton County, GA","2.2","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"17031","Cook County, IL","0.8","0.6",".",".",".",".",".",".",".",".",".",".",".","."
"17163","Saint Clair County, IL","1.3","0.9",".",".",".",".",".",".",".",".",".",".",".","."
"18089","Lake County, IN","1.3","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"18097","Marion County, IN","1","0.6",".",".",".",".",".",".",".",".",".",".",".","."
"18163","Vanderburgh County, IN","0.9","0.6",".",".",".",".",".",".",".",".",".",".",".","."
"19153","Polk County, IA","0.8","0.5",".",".",".",".",".",".",".",".",".",".",".","."
"19163","Scott County, IA","0.9","0.5",".",".",".",".",".",".",".",".",".",".",".","."
"21061","Edmonson County, KY","0.2","0.2",".",".",".",".",".",".",".",".",".",".",".","."
"22033","East Baton Rouge Parish, LA","1.2","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"22071","Orleans Parish, LA","1.2","0.9",".",".",".",".",".",".",".",".",".",".",".","."
"23005","Cumberland County, ME","1.1","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"23009","Hancock County, ME","0.2","0.2",".",".",".",".",".",".",".",".",".",".",".","."
"24023","Garrett County, MD","0.2","0.2",".",".",".",".",".",".",".",".",".",".",".","."
"25013","Hampden County, MA","1.2","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"25025","Suffolk County, MA","0.9","0.5",".",".",".",".",".",".",".",".",".",".",".","."
"25027","Worcester County, MA","1.1","0.6",".",".",".",".",".",".",".",".",".",".",".","."
